combined,upper,lower
臨滄地區雙江拉祜族佤族布郎族  族自治縣,臨滄地區,雙江拉祜族佤族布郎族  族自治縣
播州軍民安撫司舊州草堂等處蠻夷軍民長官司,播州軍民安撫司,舊州草堂等處蠻夷軍民長官司
播州軍民安撫司平代月石等處蠻夷軍民長官司,播州軍民安撫司,平代月石等處蠻夷軍民長官司
振武麟勝等軍州節度觀察處置使暨後安北金河,振武麟勝等軍州節度觀察處置使暨後安北,金河
宣政院轄地松潘宕疊威茂州等處軍民安撫使司,宣政院轄地,松潘宕疊威茂州等處軍民安撫使司
宣政院轄地龍木頭都留等一十二族軍民千戶所,宣政院轄地,龍木頭都留等一十二族軍民千戶所
西雙版納  族自治州[Menghai],西雙版納  族自治州,[Menghai]
宣政院轄地松潘宕疊威茂州等處軍民安撫使,宣政院轄地,松潘宕疊威茂州等處軍民安撫使
諸南京留守軍衛、所、監、院南京府軍左衛,諸南京留守軍衛、所、監、院,南京府軍左衛
思州軍民安撫司黃道溪等處蠻夷軍民長官司,思州軍民安撫司,黃道溪等處蠻夷軍民長官司
思州軍民安撫司思印江等處蠻夷軍民長官司,思州軍民安撫司,思印江等處蠻夷軍民長官司
臨夏回族自治州枳石山保安族東鄉族撒拉族,臨夏回族自治州,枳石山保安族東鄉族撒拉族
宣政院轄地文扶州西路南路底牙等處萬戶府,宣政院轄地,文扶州西路南路底牙等處萬戶府
紅河哈尼族彝族自治州金平苗族瑤族自治縣,紅河哈尼族彝族自治州,金平苗族瑤族自治縣
宣政院轄地靜州茶上必里溪安鄉等二十六族,宣政院轄地,靜州茶上必里溪安鄉等二十六族
八番蠻夷官中都雲板水等處蠻夷軍民長官司,八番蠻夷官,中都雲板水等處蠻夷軍民長官司
諸南京留守軍衛、所、監、院南京水軍右衛,諸南京留守軍衛、所、監、院,南京水軍右衛
新疆維吾爾自治區克孜勒蘇柯爾克孜自治州,新疆維吾爾自治區,克孜勒蘇柯爾克孜自治州
振武麟勝等軍州節度觀察處置使暨單于金河,振武麟勝等軍州節度觀察處置使暨單于,金河
都勻衛軍民指揮使司九名九姓獨山州長官司,都勻衛軍民指揮使司,九名九姓獨山州長官司
臨夏回族枳石山保安族東鄉族撒拉族自治縣,臨夏回族,枳石山保安族東鄉族撒拉族自治縣
唐代節度(地區未詳)蒲潼兩關兵馬軍節度,唐代節度(地區未詳),蒲潼兩關兵馬軍節度
思州軍民安撫司大萬山等處蠻夷軍民長官司,思州軍民安撫司,大萬山等處蠻夷軍民長官司
諸南京留守軍衛、所、監、院南京留守後衛,諸南京留守軍衛、所、監、院,南京留守後衛
播州軍民安撫司白泥等處蠻夷軍民長官司,播州軍民安撫司,白泥等處蠻夷軍民長官司
諸南京留守軍衛、所、監、院南京錦衣衛,諸南京留守軍衛、所、監、院,南京錦衣衛
諸南京留守軍衛、所、監、院南京欽天監,諸南京留守軍衛、所、監、院,南京欽天監
新疆維吾爾自治克孜勒蘇柯爾克孜自治州,新疆維吾爾自治,克孜勒蘇柯爾克孜自治州
思州軍民安撫司烏羅等處蠻夷軍民長官司,思州軍民安撫司,烏羅等處蠻夷軍民長官司
諸南京留守軍衛、所、監、院南京留守後,諸南京留守軍衛、所、監、院,南京留守後
宣政院轄地文扶州西路南路底牙等處萬戶,宣政院轄地,文扶州西路南路底牙等處萬戶
思州軍民安撫司省溪等處蠻夷軍民長官司,思州軍民安撫司,省溪等處蠻夷軍民長官司
思州軍民安撫司石千等處蠻夷軍民長官司,思州軍民安撫司,石千等處蠻夷軍民長官司
播州軍民安撫司珍州等處蠻夷軍民長官司,播州軍民安撫司,珍州等處蠻夷軍民長官司
宣政院轄地西夏中興河州等處軍民總管府,宣政院轄地,西夏中興河州等處軍民總管府
新疆維吾爾自治區博爾塔拉蒙古族自治州,新疆維吾爾自治區,博爾塔拉蒙古族自治州
宣政院轄地碉門魚通等處管軍守鎮萬戶府,宣政院轄地,碉門魚通等處管軍守鎮萬戶府
行四川行承宣布政使司越雟軍民指揮使司,行四川行承宣布政使司,越雟軍民指揮使司
思州軍民安撫沿河祐溪等處蠻夷軍民長官,思州軍民安撫,沿河祐溪等處蠻夷軍民長官
諸南京留守軍衛、所、監、院南京應天衛,諸南京留守軍衛、所、監、院,南京應天衛
播州軍民安撫平代月石等處蠻夷軍民長官,播州軍民安撫,平代月石等處蠻夷軍民長官
諸南京留守軍衛、所、監、院南京府軍衛,諸南京留守軍衛、所、監、院,南京府軍衛
諸南京留守軍衛、所、監、院南京鷹揚衛,諸南京留守軍衛、所、監、院,南京鷹揚衛
播州軍民安撫司黃平等處蠻夷軍民長官司,播州軍民安撫司,黃平等處蠻夷軍民長官司
思州軍民安撫洪州泊李等洞蠻夷軍民長官,思州軍民安撫,洪州泊李等洞蠻夷軍民長官
札薩克圖汗部扎萨克圖汗部中右翼末次旗,札薩克圖汗部,扎萨克圖汗部中右翼末次旗
臨滄雙江拉祜族佤族布郎族  族自治縣,臨滄,雙江拉祜族佤族布郎族  族自治縣
宣政院轄地朵甘思田地裏管軍民都元帥府,宣政院轄地,朵甘思田地裏管軍民都元帥府
播州軍民安撫舊州草堂等處蠻夷軍民長官,播州軍民安撫,舊州草堂等處蠻夷軍民長官
思州軍民安撫司銅人等處蠻夷軍民長官司,思州軍民安撫司,銅人等處蠻夷軍民長官司
諸南京留守軍衛、所、監、院南京旗手衛,諸南京留守軍衛、所、監、院,南京旗手衛
思州軍民安撫平頭著可等處蠻夷軍民長官,思州軍民安撫,平頭著可等處蠻夷軍民長官
湖廣行中書省獨山州等處蠻夷軍民長官司,湖廣行中書省,獨山州等處蠻夷軍民長官司
思州軍民安撫司西山等處蠻夷軍民長官司,思州軍民安撫司,西山等處蠻夷軍民長官司
宣政院轄地階文扶州等處番漢軍上千戶所,宣政院轄地,階文扶州等處番漢軍上千戶所
諸南京留守軍衛、所、監、院南京廣洋衛,諸南京留守軍衛、所、監、院,南京廣洋衛
播州軍民安撫司容山等處蠻夷軍民長官司,播州軍民安撫司,容山等處蠻夷軍民長官司
西雙版納  族自治州[Mengla],西雙版納  族自治州,[Mengla]
諸南京留守軍衛、所、監、院南京太醫院,諸南京留守軍衛、所、監、院,南京太醫院
播州軍民安撫司漕泥等處蠻夷軍民長官司,播州軍民安撫司,漕泥等處蠻夷軍民長官司
順元路木窩普沖普得等處蠻夷軍民長官司,順元路,木窩普沖普得等處蠻夷軍民長官司
湖廣行中書省南渭州等處蠻夷軍民長官司,湖廣行中書省,南渭州等處蠻夷軍民長官司
諸北京留守軍衛、千戶所、院府軍前衛,諸北京留守軍衛、千戶所、院,府軍前衛
諸北京留守軍衛、千戶所、院武驤左衛,諸北京留守軍衛、千戶所、院,武驤左衛
諸北京留守軍衛、千戶所、院燕山右衛,諸北京留守軍衛、千戶所、院,燕山右衛
諸北京留守軍衛、千戶所、院永清右衛,諸北京留守軍衛、千戶所、院,永清右衛
諸北京留守軍衛、千戶所、院永清左衛,諸北京留守軍衛、千戶所、院,永清左衛
諸北京留守軍衛、千戶所、院燕山前衛,諸北京留守軍衛、千戶所、院,燕山前衛
諸北京留守軍衛、千戶所、院虎賁左衛,諸北京留守軍衛、千戶所、院,虎賁左衛
唐代節度(地區未詳)安西四鎮軍節度,唐代節度(地區未詳),安西四鎮軍節度
札薩克圖汗部扎萨克圖汗部中右翼末旗,札薩克圖汗部,扎萨克圖汗部中右翼末旗
諸北京留守軍衛、千戶所、院羽林前衛,諸北京留守軍衛、千戶所、院,羽林前衛
宣政院轄地土蕃等路宣慰使司都元帥府,宣政院轄地,土蕃等路宣慰使司都元帥府
諸北京留守軍衛、千戶所、院金吾後衛,諸北京留守軍衛、千戶所、院,金吾後衛
四川行都指鹽井打沖河守禦中左千戶所,四川行都指,鹽井打沖河守禦中左千戶所
宣政院轄地朵甘思田地裏管軍民都元帥,宣政院轄地,朵甘思田地裏管軍民都元帥
札薩克圖汗部扎萨克圖汗部中左翼左旗,札薩克圖汗部,扎萨克圖汗部中左翼左旗
四川行都指揮使司越嶲衛軍民指揮使司,四川行都指揮使司,越嶲衛軍民指揮使司
四川行都指建昌打沖河守禦前中千戶所,四川行都指,建昌打沖河守禦前中千戶所
諸南京留守軍衛、所、監、院南京府軍,諸南京留守軍衛、所、監、院,南京府軍
思州軍民安撫思印江等處蠻夷軍民長官,思州軍民安撫,思印江等處蠻夷軍民長官
播州軍民安撫司舊州草堂等處蠻夷軍民,播州軍民安撫司,舊州草堂等處蠻夷軍民
思州軍民安撫大萬山等處蠻夷軍民長官,思州軍民安撫,大萬山等處蠻夷軍民長官
四川行都指揮使司會川衛軍民指揮使司,四川行都指揮使司,會川衛軍民指揮使司
四川行都指揮使司建昌衛軍民指揮使司,四川行都指揮使司,建昌衛軍民指揮使司
札薩克圖汗部扎萨克圖汗部中左翼末旗,札薩克圖汗部,扎萨克圖汗部中左翼末旗
八番蠻夷官小程番等處蠻夷軍民長官司,八番蠻夷官,小程番等處蠻夷軍民長官司
諸北京留守軍衛、千戶所、院府軍右衛,諸北京留守軍衛、千戶所、院,府軍右衛
諸北京留守軍衛、千戶所、院金吾左衛,諸北京留守軍衛、千戶所、院,金吾左衛
臨滄地區雙江拉祜族佤族布郎族  族,臨滄地區,雙江拉祜族佤族布郎族  族
四川行都指揮使司建昌打沖河守禦前中,四川行都指揮使司,建昌打沖河守禦前中
諸北京留守軍衛、千戶所、院金吾前衛,諸北京留守軍衛、千戶所、院,金吾前衛
札薩克圖汗部扎萨克圖汗部右翼后末旗,札薩克圖汗部,扎萨克圖汗部右翼后末旗
新疆維吾爾自治博爾塔拉蒙古族自治州,新疆維吾爾自治,博爾塔拉蒙古族自治州
思茅地區鎮沅彝族哈尼族拉祜族自治縣,思茅地區,鎮沅彝族哈尼族拉祜族自治縣
諸南京留守軍衛、所、監、院南京鷹揚,諸南京留守軍衛、所、監、院,南京鷹揚
諸北京留守軍衛、千戶所、院騰驤左衛,諸北京留守軍衛、千戶所、院,騰驤左衛
四川行都指揮使司鹽井衛軍民指揮使司,四川行都指揮使司,鹽井衛軍民指揮使司
播州軍民舊州草堂等處蠻夷軍民長官司,播州軍民,舊州草堂等處蠻夷軍民長官司
唐代節度(地區未詳)劍南東川軍節度,唐代節度(地區未詳),劍南東川軍節度
宣政院轄地岳希蓬蘿蔔村等處二十二族,宣政院轄地,岳希蓬蘿蔔村等處二十二族
諸北京留守軍衛、千戶所、院府軍後衛,諸北京留守軍衛、千戶所、院,府軍後衛
札薩克圖汗部扎萨克圖汗部中右翼左旗,札薩克圖汗部,扎萨克圖汗部中右翼左旗
諸南京留守軍衛、所、監、院南京錦衣,諸南京留守軍衛、所、監、院,南京錦衣
諸南京留守軍衛、所、監、院南京應天,諸南京留守軍衛、所、監、院,南京應天
陝西諸道固原靜寧隆德鎮原等處兵備道,陝西諸道,固原靜寧隆德鎮原等處兵備道
諸南京留守軍衛、所、監、院南京廣洋,諸南京留守軍衛、所、監、院,南京廣洋
唐代節度(地區未詳)蒲潼兩關兵馬軍,唐代節度(地區未詳),蒲潼兩關兵馬軍
宣政院轄地常陽帖城阿不籠等處萬戶府,宣政院轄地,常陽帖城阿不籠等處萬戶府
諸北京留守軍衛、千戶所、院武功中衛,諸北京留守軍衛、千戶所、院,武功中衛
黔南布依族苗族自治州三都水族自治縣,黔南布依族苗族自治州,三都水族自治縣
思州軍民平頭著可等處蠻夷軍民長官司,思州軍民,平頭著可等處蠻夷軍民長官司
雲南行中書省臨安廣西元江等處宣慰司,雲南行中書省,臨安廣西元江等處宣慰司
陝西都指揮使司西固城守禦軍民千戶所,陝西都指揮使司,西固城守禦軍民千戶所
諸北京留守軍衛、千戶所、院騰驤右衛,諸北京留守軍衛、千戶所、院,騰驤右衛
札薩克圖汗部扎萨克圖汗部中右翼末次,札薩克圖汗部,扎萨克圖汗部中右翼末次
諸北京留守軍衛、千戶所、院燕山左衛,諸北京留守軍衛、千戶所、院,燕山左衛
四川行都指揮使司寧番衛軍民指揮使司,四川行都指揮使司,寧番衛軍民指揮使司
札薩克圖汗部扎萨克圖汗部中左翼右旗,札薩克圖汗部,扎萨克圖汗部中左翼右旗
諸北京留守軍衛、千戶所、院大興左衛,諸北京留守軍衛、千戶所、院,大興左衛
唐代節度(地區未詳)苻澈邠寧軍節度,唐代節度(地區未詳),苻澈邠寧軍節度
諸北京留守軍衛、千戶所、院羽林左衛,諸北京留守軍衛、千戶所、院,羽林左衛
紅河哈尼族彝族自治州河口瑤族自治縣,紅河哈尼族彝族自治州,河口瑤族自治縣
唐代節度(地區未詳)鳳翔隴右軍節度,唐代節度(地區未詳),鳳翔隴右軍節度
都勻衛軍民指揮使九名九姓獨山州長官,都勻衛軍民指揮使,九名九姓獨山州長官
宣政院轄地碉門魚通等處管軍守鎮萬戶,宣政院轄地,碉門魚通等處管軍守鎮萬戶
諸南京留守軍衛、所、監、院南京水軍,諸南京留守軍衛、所、監、院,南京水軍
行四川行承宣布政使越雟軍民指揮使司,行四川行承宣布政使,越雟軍民指揮使司
播州軍民平代月石等處蠻夷軍民長官司,播州軍民,平代月石等處蠻夷軍民長官司
札薩克圖汗部扎萨克圖汗部右翼右末旗,札薩克圖汗部,扎萨克圖汗部右翼右末旗
諸北京留守軍衛、千戶所、院武功右衛,諸北京留守軍衛、千戶所、院,武功右衛
四川行都指揮使司禮州守禦中中千戶所,四川行都指揮使司,禮州守禦中中千戶所
思州軍民安撫黃道溪等處蠻夷軍民長官,思州軍民安撫,黃道溪等處蠻夷軍民長官
諸北京留守軍衛、千戶所、院羽林右衛,諸北京留守軍衛、千戶所、院,羽林右衛
思州軍民安撫司平頭著可等處蠻夷軍民,思州軍民安撫司,平頭著可等處蠻夷軍民
播州軍民安撫司平代月石等處蠻夷軍民,播州軍民安撫司,平代月石等處蠻夷軍民
思州軍民洪州泊李等洞蠻夷軍民長官司,思州軍民,洪州泊李等洞蠻夷軍民長官司
諸北京留守軍衛、千戶所、院府軍左衛,諸北京留守軍衛、千戶所、院,府軍左衛
四川行都指揮使司蘇州衛軍民指揮使司,四川行都指揮使司,蘇州衛軍民指揮使司
四川行都指揮使司守禦冕山橋後千戶所,四川行都指揮使司,守禦冕山橋後千戶所
新疆維吾爾自治區巴音郭楞蒙古自治州,新疆維吾爾自治區,巴音郭楞蒙古自治州
思州軍民安撫司沿河祐溪等處蠻夷軍民,思州軍民安撫司,沿河祐溪等處蠻夷軍民
諸北京留守軍衛、千戶所、院武驤右衛,諸北京留守軍衛、千戶所、院,武驤右衛
思州軍民沿河祐溪等處蠻夷軍民長官司,思州軍民,沿河祐溪等處蠻夷軍民長官司
順元木窩普沖普得等處蠻夷軍民長官司,順元,木窩普沖普得等處蠻夷軍民長官司
諸南京留守軍衛、所、監、院南京旗手,諸南京留守軍衛、所、監、院,南京旗手
諸北京留守軍衛、千戶所、院武功左衛,諸北京留守軍衛、千戶所、院,武功左衛
思州軍民安撫司洪州泊李等洞蠻夷軍民,思州軍民安撫司,洪州泊李等洞蠻夷軍民
諸北京留守軍衛、千戶所、院金吾右衛,諸北京留守軍衛、千戶所、院,金吾右衛
都勻衛軍民指揮使司合江陳蒙爛長官司,都勻衛軍民指揮使司,合江陳蒙爛長官司
思茅地區孟連  族拉祜族佤族自治縣,思茅地區,孟連  族拉祜族佤族自治縣
唐代道行軍(地區未詳)東南道行軍,唐代道行軍(地區未詳),東南道行軍
陝西諸道行御史臺河西隴北廉訪司道,陝西諸道行御史臺,河西隴北廉訪司道
唐代道行軍(地區未詳)洮州道行軍,唐代道行軍(地區未詳),洮州道行軍
播州軍民安撫珍州等處蠻夷軍民長官,播州軍民安撫,珍州等處蠻夷軍民長官
都勻衛軍民指揮使司九名九姓獨山州,都勻衛軍民指揮使司,九名九姓獨山州
新疆維吾爾自治區克孜勒蘇柯爾克孜,新疆維吾爾自治區,克孜勒蘇柯爾克孜
諸北京留守軍衛、千戶所、院府軍衛,諸北京留守軍衛、千戶所、院,府軍衛
札薩克圖汗部扎薩克圖汗兼右翼左旗,札薩克圖汗部,扎薩克圖汗兼右翼左旗
諸北京留守軍衛、千戶所、院獻陵衛,諸北京留守軍衛、千戶所、院,獻陵衛
土謝圖汗部土謝圖汗部左翼左中末旗,土謝圖汗部,土謝圖汗部左翼左中末旗
江南諸道行御史臺浙東海右廉訪司道,江南諸道行御史臺,浙東海右廉訪司道
江南諸道行御史臺江東建康廉訪司道,江南諸道行御史臺,江東建康廉訪司道
思州軍民安撫石千等處蠻夷軍民長官,思州軍民安撫,石千等處蠻夷軍民長官
宣政院轄地朵甘思哈答李唐魚通等處,宣政院轄地,朵甘思哈答李唐魚通等處
唐代道行軍(地區未詳)代州道行軍,唐代道行軍(地區未詳),代州道行軍
唐代道行軍(地區未詳)定襄道行軍,唐代道行軍(地區未詳),定襄道行軍
諸北京留守軍衛、千戶所、院通州衛,諸北京留守軍衛、千戶所、院,通州衛
宋代節度(地區未詳)太平軍軍節度,宋代節度(地區未詳),太平軍軍節度
札薩克圖汗部扎萨克圖汗部右翼前旗,札薩克圖汗部,扎萨克圖汗部右翼前旗
播州軍民安撫白泥等處蠻夷軍民長官,播州軍民安撫,白泥等處蠻夷軍民長官
雲南都指揮使司守禦通海右右千戶所,雲南都指揮使司,守禦通海右右千戶所
思州軍民思印江等處蠻夷軍民長官司,思州軍民,思印江等處蠻夷軍民長官司
江南諸道行御史臺嶺北湖南廉訪司道,江南諸道行御史臺,嶺北湖南廉訪司道
札薩克圖汗部扎萨克圖汗部右翼后旗,札薩克圖汗部,扎萨克圖汗部右翼后旗
紅河哈尼族彝族金平苗族瑤族自治縣,紅河哈尼族彝族,金平苗族瑤族自治縣
陝西諸道行御史臺雲南諸路廉訪司道,陝西諸道行御史臺,雲南諸路廉訪司道
札薩克圖汗部扎萨克圖汗部右翼右旗,札薩克圖汗部,扎萨克圖汗部右翼右旗
宣政院轄地常陽帖城阿不籠等處萬戶,宣政院轄地,常陽帖城阿不籠等處萬戶
播州軍民安撫黃平等處蠻夷軍民長官,播州軍民安撫,黃平等處蠻夷軍民長官
遼東都指揮使司百尺崖備禦後千戶所,遼東都指揮使司,百尺崖備禦後千戶所
唐代道行軍(地區未詳)靈州道行軍,唐代道行軍(地區未詳),靈州道行軍
諸北京留守軍衛、千戶所、院濟陽衛,諸北京留守軍衛、千戶所、院,濟陽衛
八番蠻夷官陳蒙等處蠻夷軍民長官司,八番蠻夷官,陳蒙等處蠻夷軍民長官司
思州軍民黃道溪等處蠻夷軍民長官司,思州軍民,黃道溪等處蠻夷軍民長官司
陝西諸道行御史臺陝西漢中廉訪司道,陝西諸道行御史臺,陝西漢中廉訪司道
唐代道行軍(地區未詳)楡關道行軍,唐代道行軍(地區未詳),楡關道行軍
唐代道行軍(地區未詳)渭北道行軍,唐代道行軍(地區未詳),渭北道行軍
四川行都指揮使司禮州守禦後千戶所,四川行都指揮使司,禮州守禦後千戶所
諸北京留守軍衛、千戶所、院茂陵衛,諸北京留守軍衛、千戶所、院,茂陵衛
貴州都指揮使司普定衛軍民指揮使司,貴州都指揮使司,普定衛軍民指揮使司
八番蠻夷官中嶆等處蠻夷軍民長官司,八番蠻夷官,中嶆等處蠻夷軍民長官司
大理白族自治州蘶山彝族回族自治縣,大理白族自治州,蘶山彝族回族自治縣
思州軍民安撫銅人等處蠻夷軍民長官,思州軍民安撫,銅人等處蠻夷軍民長官
順元路磨坡雷波等處蠻夷軍民長官司,順元路,磨坡雷波等處蠻夷軍民長官司
諸北京留守軍衛、千戶所、院長陵衛,諸北京留守軍衛、千戶所、院,長陵衛
札薩克圖汗部扎萨克圖汗部中左翼末,札薩克圖汗部,扎萨克圖汗部中左翼末
江南諸道行御史臺江南湖北廉訪司道,江南諸道行御史臺,江南湖北廉訪司道
唐代道行軍(地區未詳)浿江道行軍,唐代道行軍(地區未詳),浿江道行軍
諸北京留守軍衛、千戶所、院濟州衛,諸北京留守軍衛、千戶所、院,濟州衛
札薩克圖汗部扎萨克圖汗部中右翼末,札薩克圖汗部,扎萨克圖汗部中右翼末
宣政院轄地吐蕃等處宣慰司都元帥府,宣政院轄地,吐蕃等處宣慰司都元帥府
江南諸道行御史臺福建閩海廉訪司道,江南諸道行御史臺,福建閩海廉訪司道
札薩克圖汗部扎萨克圖汗部右翼右末,札薩克圖汗部,扎萨克圖汗部右翼右末
思州軍民安撫省溪等處蠻夷軍民長官,思州軍民安撫,省溪等處蠻夷軍民長官
唐代道行軍(地區未詳)鷄林道行軍,唐代道行軍(地區未詳),鷄林道行軍
諸北京留守軍衛、千戶所、院永陵衛,諸北京留守軍衛、千戶所、院,永陵衛
札薩克圖汗部扎萨克圖汗部左翼左旗,札薩克圖汗部,扎萨克圖汗部左翼左旗
巴音郭楞蒙古自治州焉耆回族自治縣,巴音郭楞蒙古自治州,焉耆回族自治縣
雲南都指揮使司安莊衛軍民指揮使司,雲南都指揮使司,安莊衛軍民指揮使司
江南諸道行御史臺嶺南廣西廉訪司道,江南諸道行御史臺,嶺南廣西廉訪司道
諸北京留守軍衛、千戶所、院彭城衛,諸北京留守軍衛、千戶所、院,彭城衛
諸北京留守軍衛、千戶所、院景陵衛,諸北京留守軍衛、千戶所、院,景陵衛
土謝圖汗部土謝圖汗部右翼右末次旗,土謝圖汗部,土謝圖汗部右翼右末次旗
札薩克圖汗部扎萨克圖汗部左翼右旗,札薩克圖汗部,扎萨克圖汗部左翼右旗
唐代道行軍(地區未詳)凉州道行軍,唐代道行軍(地區未詳),凉州道行軍
廣西都指揮使司守禦來賓中前千戶所,廣西都指揮使司,守禦來賓中前千戶所
唐代節度(地區未詳)晉絳慈軍節度,唐代節度(地區未詳),晉絳慈軍節度
行四川行承宣布政使越雟軍民指揮使,行四川行承宣布政使,越雟軍民指揮使
都勻衛軍民指揮使司平洲六洞長官司,都勻衛軍民指揮使司,平洲六洞長官司
雲南都指揮使司龍裏衛軍民指揮使司,雲南都指揮使司,龍裏衛軍民指揮使司
諸北京留守軍衛、千戶所、院裕陵衛,諸北京留守軍衛、千戶所、院,裕陵衛
諸北京留守軍衛、千戶所、院府軍後,諸北京留守軍衛、千戶所、院,府軍後
四川都指揮使司疊溪守禦軍民千戶所,四川都指揮使司,疊溪守禦軍民千戶所
札薩克圖汗部扎萨克圖汗部右翼后末,札薩克圖汗部,扎萨克圖汗部右翼后末
唐代道行軍(地區未詳)洮河道行軍,唐代道行軍(地區未詳),洮河道行軍
江南諸道行御史臺江西湖東廉訪司道,江南諸道行御史臺,江西湖東廉訪司道
諸北京留守軍衛、千戶所、院旗手衛,諸北京留守軍衛、千戶所、院,旗手衛
唐代節度(地區未詳)魏博軍軍節度,唐代節度(地區未詳),魏博軍軍節度
思州軍民大萬山等處蠻夷軍民長官司,思州軍民,大萬山等處蠻夷軍民長官司
順元路葛蠻雍真等處蠻夷軍民長官司,順元路,葛蠻雍真等處蠻夷軍民長官司
紅河哈尼族彝族自治州金平苗族瑤族,紅河哈尼族彝族自治州,金平苗族瑤族
遼東都指揮使司福山備禦中前千戶所,遼東都指揮使司,福山備禦中前千戶所
貴州都指揮使司新添衛軍民指揮使司,貴州都指揮使司,新添衛軍民指揮使司
都勻衛軍民指九名九姓獨山州長官司,都勻衛軍民指,九名九姓獨山州長官司
唐代道行軍(地區未詳)崑山道行軍,唐代道行軍(地區未詳),崑山道行軍
思州軍民安撫司思印江等處蠻夷軍民,思州軍民安撫司,思印江等處蠻夷軍民
江南諸道行御史臺海北廣東廉訪司道,江南諸道行御史臺,海北廣東廉訪司道
唐代道行軍(地區未詳)金牙道行軍,唐代道行軍(地區未詳),金牙道行軍
思州軍民安撫司大萬山等處蠻夷軍民,思州軍民安撫司,大萬山等處蠻夷軍民
西雙版納  族[Menghai],西雙版納  族,[Menghai]
諸北京留守軍衛、千戶所、院昭陵衛,諸北京留守軍衛、千戶所、院,昭陵衛
湖廣都指揮使司施州衛軍民指揮使司,湖廣都指揮使司,施州衛軍民指揮使司
貴州都指揮使司都勻衛軍民指揮使司,貴州都指揮使司,都勻衛軍民指揮使司
諸北京留守軍衛、千戶所、院金吾後,諸北京留守軍衛、千戶所、院,金吾後
播州軍民安撫容山等處蠻夷軍民長官,播州軍民安撫,容山等處蠻夷軍民長官
新疆維吾爾自治巴音郭楞蒙古自治州,新疆維吾爾自治,巴音郭楞蒙古自治州
八番蠻夷官中都雲板水等處蠻夷軍民,八番蠻夷官,中都雲板水等處蠻夷軍民
諸北京留守軍衛、千戶所、院太醫院,諸北京留守軍衛、千戶所、院,太醫院
遼東都指揮使司王徐寨備禦前千戶所,遼東都指揮使司,王徐寨備禦前千戶所
思州軍民安撫烏羅等處蠻夷軍民長官,思州軍民安撫,烏羅等處蠻夷軍民長官
唐代道行軍(地區未詳)靈武道行軍,唐代道行軍(地區未詳),靈武道行軍
八番蠻夷官白納等處蠻夷軍民長官司,八番蠻夷官,白納等處蠻夷軍民長官司
會川衛軍民指揮使司迷易守禦千戶所,會川衛軍民指揮使司,迷易守禦千戶所
諸北京留守軍衛、千戶所、院康陵衛,諸北京留守軍衛、千戶所、院,康陵衛
唐代道行軍(地區未詳)熊津道行軍,唐代道行軍(地區未詳),熊津道行軍
